,date,title,support,notes,tags,reviews,One Set,Set 1,Set 2,Set 3,Encore,2nd Encore,3rd Encore,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Overtime
0,2020-02-26,"Midtown Ballroom, Bend, OR, USA",Andy Frasco & The U.N.,['with YYZ (Rush) tease before Intentions Clear'],"{'1': 'with La Grange (ZZ Top) tease', '2': ""with Paradise City (Guns N' Roses) teases, jam, and quote""}",,,,,,,,,,,,,
0,2020-02-27,"McDonald Theatre, Eugene, OR, USA",Andy Frasco & The U.N.,None,"{'1': 'with Mike Dillon on percussion', '2': ""with Domino Theory, Paradise City (Guns N' Roses), and Black Sabbath (Black Sabbath) teases"", '3': ""with Can't You Hear Me Knocking (the Rolling Stones) tease"", '4': ""with Ernie Chang on saxophone; with Can't You Hear Me Knocking (the Rolling Stones) tease""}",,,,,,,,,,,,,
0,2020-02-28,"Crystal Ballroom, Portland, OR, USA",Andy Frasco & The U.N.,['with YYZ (Rush) jam after Half Delayed'],"{'1': 'with 2112: Discovery (Rush) intro', '2': 'with Andy Frasco on vocals and Al Schnier replacing Brendan on guitar'}",,,,,,,,,,,,,
0,2020-02-29,"Showbox SoDo, Seattle, WA, USA",Andy Frasco & The U.N.,['last Pipeline 04.08.2016 (361 shows)'],"{'1': 'with Rhiannon (Fleetwood Mac) tease; unfinished', '2': 'with Hindsight and Thunderstruck (AC/DC) teases', '3': 'with Ike Willis on vocals and Marcus Rezak on guitar', '4': 'with Use Me (Bill Withers) and Breathe (Pink Floyd) jams', '5': 'with Ernie Chang on saxophone and Andee Avila on percussion; with Binary Sunset (John Williams) tease and Working Day and Night (Michael Jackson) jam', '6': 'with Let Me Blow Ya Mind (Eve) teases'}",1 review(s),,,,,,,,,,,,
0,2020-03-05,"Belly Up Aspen, Aspen, CO, USA",,None,"{'1': ""with Can't You See (The Marshall Tucker Band) tease"", '2': 'with Not Fade Away (Buddy Holly) tease', '3': 'partial', '4': 'with Hajimemashite tease in intro', '5': 'with ""Jiggle Thing"" (Bayliss) intro', '6': 'incomplete'}",,,,,,,,,,,,,
0,2020-03-06,"Belly Up Aspen, Aspen, CO, USA",,['last  ...And Justice For All 03.11.2017 (273 shows)'],"{'1': 'unfinished', '2': 'with Last Man Swerving tease', '3': 'just Joel on piano'}",,,,,,,,,,,,,
0,2020-03-07,"Belly Up Aspen, Aspen, CO, USA",,None,"{'1': 'with Glory intro', '2': 'with Final Word tease', '3': ""with La Grange (ZZ Top) jam and (Don't Fear) The Reaper (Blue Oyster Cult) tease"", '4': 'first time played, Pearl Jam; one verse'}",,,,,,,,,,,,,
0,2020-06-10,"Boondock Studios, Niles, MI, USA",,"[""the band played live from Jake's Boondock Studio as a virtual concertThis show does not count for statistics.""]",{'1': 'unfinished'},,,,,,,,,,,,,
0,2020-06-11,"Boondock Studios, Niles, MI, USA",,"[""the band played live from Jake's Boondock Studio as a virtual concertThis show does not count for statistics.""]","{'1': 'with In A Silent Way (Miles Davis) teases; unfinished', '2': 'with Mind Left Body (Kanter/Garcia) jam', '3': 'with $5.00 Foot Long (Subway commercial) jam and quotes'}",,,,,,,,,,,,,
0,2020-09-02,"Wrapped In the Round, Chicago, IL, USA",,"['show featured Stew Art moments, with fan suggestions chosen out of a bowl', 'This show does not count for statistics.']","{'1': 'with Stew Art selections ""Fripp It and Rip It,"" which included Frame By Frame (King Crimson) tease, and ""Baby Making Music""', '2': 'with Stew Art selections ""No Mr. Bond, I Expect You to Die"" and ""Eddie Van Halen Meets Axel Foley,"" which included Axel F (Harold Faltermeyer) and Hot For Teacher and Jump (Van Halen) teases'}",1 review(s),,,,,,,,,,,,
0,2020-09-03,"Wrapped In the Round, Chicago, IL, USA",,"['show featured Stew Art moments, with fan suggestions chosen out of a bowlThis show does not count for statistics.']","{'1': 'with Stew Art selections ""Technical Difficulties"" and ""Rocket Launch""', '2': 'with Stew Art selection ""Underwater Ghost,"" which featured Jake on bass and Hang Up Your Hang Ups (Herbie Hancock) teases'}",,,,,,,,,,,,,
0,2020-09-05,"""At the Drive Inn"" SeatGeek Stadium, Bridgeview, IL, USA",,['with Cars (Gary Newman) tease before Hurt Bird Bath'],{},,,,,,,,,,,,,
0,2020-09-06,"""At the Drive Inn"" SeatGeek Stadium, Bridgeview, IL, USA",,None,"{'1': 'with Shine On You Crazy Diamond (Pink Floyd) teases', '2': ""with Paradise City (Guns N' Roses) and Hold On Loosely (38 Special) teases"", '3': 'with I Got Love (Nate Dogg) jam', '4': 'completing the 09.05.2020 version'}",,,,,,,,,,,,,
0,2020-10-09,"""Drive In at the Speedway"" Atlanta Motor Speedway, Hampton, GA, USA",,None,"{'1': ""with Ain't Talkin' 'Bout Love (Van Halen) jam and quote""}",,,,,,,,,,,,,
0,2020-10-10,"""Drive In at the Speedway"" Atlanta Motor Speedway, Hampton, GA, USA",,['show start was delayed due to weather'],{'1': 'with 316 and Eruption (Van Halen) teases in intro'},,,,,,,,,,,,,
0,2019-01-11,"The National, Richmond, VA, USA",The Trongone Band,None,{'1': 'with Jake on keys'},,,,,,,,,,,,,
0,2019-01-12,"The National, Richmond, VA, USA",The Trongone Band,"['with Birthday (The Beatles) teases before 2nd Self, for Joel and Chris Mitchell', 'last I Heard It Through the Grapevine 08.14.2014 (402 shows)', 'with Happy Birthday tease before Ringo']","{'1': 'with false start', '2': 'with Jake on keys', '3': 'unfinished'}",,,,,,,,,,,,,
0,2019-01-15,"""Jam Cruise 17"" Norwegian Jade, Atlantic Ocean, Atlantic Ocean",,['Pool Deck'],{},,,,,,,,,,,,,
0,2019-01-16,"""Jam Cruise 17"" Norwegian Jade, Atlantic Ocean, Atlantic Ocean",,['Stardust Theater'],"{'1': ""with YYZ (Rush), and Nuthin' but a 'G' Thang and Xxplosive (Dr. Dre) teases; unfinished"", '2': 'with Chris Brouwers on trumpet, Greg Sanderson on tenor saxophone, and Josh Schwartz on baritone saxophone', '3': 'with Skerik on saxophone and Mike Dillon on percussion; with Entrance of the Gladiators (Julius Fučík) tease'}",,,,,,,,,,,,,
0,2019-01-18,"Taft Theatre, Cincinnati, OH, USA",Big Something,"[""with YYZ (Rush) teases before Phil's Farm""]","{'1': 'with Stairway to Heaven (Led Zeppelin) tease', '2': 'unfinished', '3': ""with Can't You Hear Me Knocking (The Rolling Stones) tease"", '4': 'with Nick Blasky on percussion'}",,,,,,,,,,,,,
0,2019-01-19,"Taft Theatre, Cincinnati, OH, USA",Big Something,None,"{'1': 'with Crazy Train (Ozzy Osbourne) teases', '2': 'with Casey Cranford on EWI', '3': 'with Jake on keys; with Rhiannon (Fleetwood Mac) teases', '4': 'with Lose Yourself (Eminem) and Game of Thrones theme (Djawadi) teases'}",,,,,,,,,,,,,
0,2019-01-25,"Riverside Theater, Milwaukee, WI, USA",Marcus King Band,"[""last It's Gonna Be A Long Night 02.17.2008 (1,149 shows)""]","{'1': 'with Rockit (Herbie Hancock) tease', '2': 'with Australian Lullaby tease', '3': 'with Jake on keys'}",1 review(s),,,,,,,,,,,,
0,2019-01-26,"Riverside Theater, Milwaukee, WI, USA",Marcus King Band,"['last Coming In From the Cold 10.09.2002 (1,880 shows)']","{'1': 'with Marcus King on guitar', '2': 'with reprise of ""turbo"" version', '3': ""with Don't Stand So Close to Me (The Police) teases"", '4': 'with Imperial March (Star Wars) (John Williams) tease', '5': 'with Big Heart (Lounge Lizards) jam', '6': 'with Bombtrack (Rage Against the Machine) jam and quote; with Jake on drums; with Home (The New Deal) jam', '7': ""with One Nation Under a Groove (Funkadelic) and Jesu, Joy of Man's Desiring (Bach) teases""}",,,,,,,,,,,,,
0,2019-01-31,"College Street Music Hall, New Haven, CT, USA",Robert Walter’s 20th Congress,None,{},,,,,,,,,,,,,
0,2019-02-01,"Palace Theatre, Albany, NY, USA",Robert Walter’s 20th Congress,None,"{'1': 'with Robert Walter on keys', '2': 'with Norwegian Wood (The Beatles) tease and jam', '3': 'with Vinnie Amico on drums'}",,,,,,,,,,,,,
0,2019-02-02,"State Theatre, Portland, ME, USA",Robert Walter’s 20th Congress,['with The Gambler (Kenny Rogers) quote from Jake and tease from Kris before Ringo'],"{'1': 'with Dreams (Fleetwood Mac) jams and quote', '2': 'with Scott Metzger on guitar and Jake on keys', '3': 'with Jake on keys; ended with Pooh Doggie jam; unfinished', '4': '""Jimmy Stewart"" with lyrics'}",,,,,,,,,,,,,
0,2019-02-14,"Brooklyn Steel, Brooklyn, NY, USA",,['last E.T.I. 02.04.2016 (281 shows)'],"{'1': 'with YYZ (Rush) teases', '2': ""with Baba O'Riley (The Who) teases""}",,,,,,,,,,,,,
0,2019-02-15,"Brooklyn Steel, Brooklyn, NY, USA",,None,"{'1': 'with Mike Maher on trumpet, Chris Ott on trombone, and Dan White on tenor saxophone', '2': 'with Human Nature (Michael Jackson) intro from Ryan; with Isaac Teel and Jake on percussion', '3': 'unfinished'}",,,,,,,,,,,,,
0,2019-02-16,"Brooklyn Steel, Brooklyn, NY, USA",,None,"{'1': 'with Kanika Moore on vocals', '2': 'incomplete', '3': 'with The Chicken (Pee Wee Ellis) and The Safety Dance (Men Without Hats) teases', '4': 'with Jake on keys'}",,,,,,,,,,,,,
0,2019-02-21,"Clyde Theatre, Fort Wayne, IN, USA",Moser Woods,['with La Grange (ZZ Top) and Ain’t Talking Bout Love (Van Halen) teases before Mad Love'],"{'1': 'with Entrance of the Gladiators (Julius Fučík) tease', '2': ""with Nicholas D'Virgilio on percussion"", '3': 'with Eruption (Van Halen) tease', '4': 'with Taking Care of Business (Bachman Turner Overdrive) jam and quote, Today (Smashing Pumpkins) tease, and 10th Grade quote'}",,,,,,,,,,,,,
0,2019-02-22,"The Fillmore, Detroit, MI, USA",Michal Menert and the Pretty Fantastics,None,"{'1': 'with Detroit Rock City (Kiss) tease and quote; with Syncopated Strangers teases', '2': 'with Jake on keys; unfinished', '3': 'with Everybody Wants You (Billy Squier) jam', '4': 'unfinished', '5': 'with YYZ (Rush) tease'}",,,,,,,,,,,,,
0,2019-02-23,"The Fillmore, Detroit, MI, USA",Michal Menert and the Pretty Fantastics,None,"{'1': 'with Chuck Bartels replacing Ryan on bass', '2': 'with Nick Gerlach on saxophone', '3': 'with Stairway to Heaven (Led Zeppelin) tease', '4': 'completing the 02.22.2019 version'}",,,,,,,,,,,,,
0,2019-03-01,"The Fox Theater, Oakland, CA, USA",Ghost-Note,None,"{'1': 'with Jake on keys', '2': 'with Let Me Blow Ya Mind (Eve) tease'}",,,,,,,,,,,,,
0,2019-03-02,"The Wiltern, Los Angeles, CA, USA",Ghost-Note,None,"{'1': ""with Can't You Hear Me Knocking (Rolling Stones) tease"", '2': 'with Nate Werth on percussion; with Soul Food II teases', '3': 'with Eruption (Van Halen) tease'}",,,,,,,,,,,,,
0,2019-03-03,"""M3F Festival"" Margaret T. Hance Park, Phoenix, AZ, USA",,None,{},,,,,,,,,,,,,
0,2019-03-07,"Midtown Ballroom, Bend, OR, USA",Ghost-Note,None,"{'1': 'with Everybody Wants You (Billy Squier) teases', '2': 'with Regulate (Warren G and Nate Dogg) teases'}",,,,,,,,,,,,,
0,2019-03-08,"McDonald Theatre, Eugene, OR, USA",Ghost-Note,None,"{'1': 'with The Fuzz teases', '2': 'with Johnny B. Goode (Chuck Berry) tease', '3': 'unfinished', '4': 'with Robert ""Sput"" Searight on drums', '5': ""with Breezin' (George Benson) teases""}",,,,,,,,,,,,,
0,2019-03-09,"Showbox SoDo, Seattle, WA, USA",Ghost-Note,None,"{'1': ""with Ain't Talkin' 'bout Love (Van Halen) tease; unfinished"", '2': ""with It's About That Time (Miles Davis) jam"", '3': ""with Wanna Be Startin' Somethin' (Michael Jackson) tease"", '4': 'with Nate Werth on percussion, Vaughn Henry on keyboards, and Sylvester Onyejiaka on saxophone', '5': 'with Roundabout (Yes) tease in intro'}",,,,,,,,,,,,,
0,2019-03-10,"The Hive, Sandpoint, ID, USA",,None,"{'1': 'with The Message (Grandmaster Flash and the Furious Five) jam', '2': 'with Jeff Grady on percussion'}",,,,,,,,,,,,,
0,2019-03-21,"Penn's Peak, Jim Thorpe, PA, USA",Big Something,"['with Uncommon tease before Roulette', 'last Cinnamon Girl 10.16.2013 (526 shows)']","{'1': 'with Eruption (Van Halen) tease', '2': 'with Born Under a Bad Sign (William Bell/Booker T. Jones) teases', '3': 'with Robbie Williams on ""vocals""'}",,,,,,,,,,,,,
0,2019-03-22,"Stage AE, Pittsburgh, PA, USA",Big Something,None,{'1': 'with Casey Cranford on saxophone'},,,,,,,,,,,,,
0,2019-03-23,"Masonic Auditorium, Cleveland, OH, USA",Big Something,['last 50 Ways to Leave Your Lover 04.03.2014 (476 shows)'],"{'1': 'with Domino Theory teases', '2': 'with Everybody Wants You (Billy Squier) teases', '3': 'with Shhh / Peaceful (Miles Davis) teases'}",,,,,,,,,,,,,
0,2019-03-29,"Ryman Auditorium, Nashville, TN, USA",,None,{'1': 'with Rhiannon (Fleetwood Mac) teases and jam'},,,,,,,,,,,,,
0,2019-03-30,"Ryman Auditorium, Nashville, TN, USA",,"['last Ten Years Gone 09.11.2003 (1,769 shows)']","{'1': 'unfinished', '2': 'with Brendan and Jake on acoustics', '3': 'with Brendan on acoustic', '4': 'debut in full; Led Zeppelin', '5': 'debut, Tyler Childers; with Brendan on acoustic', '6': 'with Over the Hills and Far Away (Led Zeppelin) tease'}",,,,,,,,,,,,,
0,2019-04-03,"Belly Up Aspen, Aspen, CO, USA",,['last London Calling 01.31.2011 (833 shows)'],"{'1': 'with Roundabout (Yes) teases', '2': '""Jimmy Stewart"" with lyrics', '3': 'with Maybe Someday and FDR teases', '4': 'with Q*Bert tease'}",,,,,,,,,,,,,
0,2019-04-04,"Belly Up Aspen, Aspen, CO, USA",,None,{'1': 'with Jason Hann on percussion'},,,,,,,,,,,,,
0,2019-04-05,"""The Apres"" Buttermilk Ski Area, Aspen, CO, USA",,None,"{'1': 'unfinished', '2': 'with All Things Ninja teases', '3': 'with Muff II: The Revenge jam', '4': 'with Domino Theory jam and Happy Birthday (trad.) tease'}",,,,,,,,,,,,,
0,2019-04-27,"""Trondossa Music & Arts Fest"" Riverfront Park, North Charleston, SC, USA",,None,{'1': 'with La Grange (ZZ Top) jam'},,,,,,,,,,,,,
0,2019-04-28,"""Trondossa Music & Arts Fest"" Riverfront Park, North Charleston, SC, USA",,None,{'1': 'with Kanika Moore on vocals'},,,,,,,,,,,,,
0,2019-05-10,"""Charlotte SHOUT! Festival"" Romare Bearden Park, Charlotte, NC, USA",,None,"{'1': 'with G. Love on harmonica and Mike Quinn on saxophone', '2': 'with MLK (U2) tease', '3': 'with Roundabout and Mood For a Day (Yes) teases in intro'}",,,,,,,,,,,,,
0,2019-05-23,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,"['Red Barn', 'late night set', 'last Stop 06.09.2000 (2,251 shows)']","{'1': 'with Third Stone From the Sun (Jimi Hendrix) teases; unfinished', '2': 'with Jake on keys', '3': 'with Hysteria (Def Leppard) tease', '4': 'with One (Metallica) tease'}",,,,,,,,,,,,,
0,2019-05-24,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,"['Sunshine Stage', 'for the second set, the album Anchor Drops was played in its entirety', 'last Bullhead City 05.06.2016 (276 shows)']","{'1': 'with Here Come the Mummies on horns', '2': 'completing the 05.23.2019 version', '3': 'with Hang Up Your Hang Ups (Herbie Hancock) jam', '4': 'with Tierinii Jackson on vocals and Jake on acoustic'}",,,,,,,,,,,,,
0,2019-05-25,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,"['Sunshine Stage', 'show was halted due to inclement weather']","{'1': 'debut, original', '2': 'unfinished'}",,,,,,,,,,,,,
0,2019-05-26,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA",,['Sunshine Stage'],"{'1': 'with Allie Kral on violin and Arlo McKinley on vocals', '2': 'with Reubula tease; unfinished', '3': 'with Norwegian Wood (The Beatles) jam', '4': 'completing the 05.25.2019 version', '5': 'debut, Soundgarden; with Andy on drums and Kris only on vocals'}",,,,,,,,,,,,,
0,2019-05-30,"Avondale Brewing Company, Birmingham, AL, USA",,['last Who Knows 08.14.2015 (345 shows)'],{},,,,,,,,,,,,,
0,2019-05-31,"""Backwoods Music Festival"" Mulberry Mountain, Ozark, AR, USA",,['Motherland Stage'],{},,,,,,,,,,,,,
0,2019-06-01,"""Cathead Jam"" Cathead Distillery, Jackson, MS, USA",,None,{},,,,,,,,,,,,,
0,2019-06-21,"Red Rocks Amphitheatre, Morrison, CO, USA",Spafford,None,"{'1': 'debut, Pink Floyd; with Kanika Moore on vocals'}",,,,,,,,,,,,,
0,2019-06-22,"Red Rocks Amphitheatre, Morrison, CO, USA",Turkuaz,"['last With a Little Help from My Friends 12.31.2008 (1,088 shows); played for Jeff']","{'1': 'with Fool In the Rain (Led Zeppelin) tease', '2': 'with Christopher Brouwers on trumpet, and Greg Sanderson and Joshua Schwartz on saxophones', '3': 'with Shira Elias and Sammi Garett on vocals, Brouwers on trumpet, and Sanderson and Schwartz on saxophones', '4': 'debut, Talking Heads (Al Green); with Elias and Garett on vocals, Brouwers on trumpet, and Sanderson and Schwartz on saxophones'}",,,,,,,,,,,,,
0,2019-06-23,"Red Rocks Amphitheatre, Morrison, CO, USA",,"['In the Light intro before Immigrant Song', 'last Hey, Hey What Can I Do 06.28.2015 (364 shows)', 'last Bron-Y-Aur Stomp 04.24.2010 (930 shows)', 'last No Quarter 11.15.2005 (1,467 shows)']","{'1': 'with Back In Black (AC/DC) teases', '2': 'with Jason Bonham on drums and James Dylan on vocals', '3': 'debut, Led Zeppelin; with Jason Bonham on drums and James Dylan on vocals', '4': 'with Jason Bonham on drums', '5': 'with Jason Bonham on drums and Brendan on acoustic', '6': 'with Jason Bonham on drums, James Dylan on vocals, and Eric Krasno on guitar', '7': ""with It's About That Time (Mile Davis) jam; unfinished"", '8': 'with Waterfalls (TLC) quotes', '9': 'with Immigrant Song (Led Zeppelin) teases'}",,,,,,,,,,,,,
0,2019-07-03,"House of Blues, Anaheim, CA, USA",Ron Artis II & the Truth,['with YYZ and Spirit of the Radio (Rush) teases before Resolution'],"{'1': 'with Body and Soul (William Onyeabor) teases', '2': 'with Regulate (Warren G) jam, and Sailing (Christopher Cross) and Roundabout (Yes) teases'}",,,,,,,,,,,,,
0,2019-07-05,"""Britt Music & Arts Festival"" Britt Pavilion, Jacksonville, OR, USA",Ron Artis II & the Truth,None,"{'1': 'with Layla (Derek and the Dominos) jam and quote', '2': 'with Over the Hills and Far Away (Led Zeppelin) teases', '3': 'with Off the Wall (Michael Jackson) teases'}",,,,,,,,,,,,,
0,2019-07-06,"""High Sierra Music Festival"" Plumas-Sierra County Fairgrounds, Quincy, CA, USA",,['Grandstand Stage'],{'1': 'with Skerik on saxophone'},,,,,,,,,,,,,
0,2019-07-13,"""4848 Festival"" Snowshoe Mountain Resort, Snowshoe, WV, USA",,['Sky Stage'],"{'1': 'with Billy Strings on guitar, Paul Hoffman on mandolin, and Anders Beck on dobro', '2': 'with Dr. Feelgood (Motley Crue) jam and quote; unfinished'}",,,,,,,,,,,,,
0,2019-07-18,"The Ritz, Raleigh, NC, USA",Aqueous,['with La Grange (ZZ Top) tease before Women Wine and Song'],"{'1': 'with The Frayed Ends of Sanity (Metallica) teases', '2': 'with Ten Years Gone (Led Zeppelin) jam', '3': 'with Stairway to Heaven (Led Zeppelin) tease'}",,,,,,,,,,,,,
0,2019-07-19,"Virginia Credit Union Live!, Richmond, VA, USA",,None,"{'1': 'with Third Stone from the Sun (Jimi Hendrix) tease', '2': 'with La Grange (ZZ Top) jam and quote'}",,,,,,,,,,,,,
0,2019-07-20,"""Camp Bisco"" Montage Mountain, Scranton, PA, USA",,None,{},,,,,,,,,,,,,
0,2019-08-02,"""Summer Meltdown"" Darrington Bluegrass Music Park, Darrington, WA, USA",,['Main Stage'],{'1': 'with Third Stone From the Sun (Jimi Hendrix) teases'},,,,,,,,,,,,,
0,2019-08-03,"KettleHouse Amphitheater, Bonner, MT, USA",Pigeons Playing Ping Pong,['with Over the Hills and Far Away (Led Zeppelin) teases before Utopian Fir'],{},,,,,,,,,,,,,
0,2019-08-04,"Red Butte Garden, Salt Lake City, UT, USA",Pigeons Playing Ping Pong,None,{'1': 'with Take Me to the River (Al Green) jam'},,,,,,,,,,,,,
0,2019-08-10,"Lakefront Green, Chicago, IL, USA","Cory Wong, Joel Cummins",None,"{'1': 'debut, original', '2': 'with Hang Up Your Hang Ups (Herbie Hancock) teases; unfinished', '3': 'with Mike Racky on pedal steel', '4': 'with Domino Theory teases', '5': 'with Imagine (John Lennon) verse'}",1 review(s),,,,,,,,,,,,
0,2019-08-15,"Jannus Live, St. Petersburg, FL, USA",Magic City Hippies,None,{},,,,,,,,,,,,,
0,2019-08-16,"The Fillmore Miami Beach, Miami Beach, FL, USA",Magic City Hippies,['last Bittersweet Haji 04.16.2016 (306 shows)'],"{'1': 'unfinished', '2': 'with Black Market (Weather Report) teases', '3': 'with Jake on keys', '4': 'with Late In the Evening (Paul Simon) jam', '5': 'with Stairway to Heaven (Led Zeppelin) ending'}",,,,,,,,,,,,,
0,2019-08-17,"St. Augustine Amphitheatre, St. Augustine, FL, USA",Magic City Hippies,None,"{'1': 'unfinished', '2': 'with Milestones (Miles Davis) and Killer Joe (Benny Golson) teases and So What (Miles Davis) jam'}",,,,,,,,,,,,,
0,2019-08-18,"Greenfield Lake Amphitheater, Wilmington, NC, USA",Magic City Hippies,"['last Home 04.02.2014 (513 shows)', 'with Still Of the Night (Whitesnake) tease before Resolution']","{'1': 'debut, Wilco', '2': ""with Breezin' (George Benson) tease""}",,,,,,,,,,,,,
0,2019-08-22,"The Signal, Chattanooga, TN, USA",,None,"{'1': 'with Shakedown Street (Grateful Dead) teases', '2': 'with Karl Engelmann on vocals'}",1 review(s),,,,,,,,,,,,
0,2019-08-23,"Iroquois Amphitheater, Louisville, KY, USA",,None,"{'1': 'with Shine On You Crazy Diamond (Pink Floyd) teases', '2': 'with Proverbial tease'}",,,,,,,,,,,,,
0,2019-08-24,"The Lawn at White River State Park, Indianapolis, IN, USA",SunSquabi,"[""with (Don't Fear) The Reaper (Blue Öyster Cult) tease before Uncommon""]","{'1': 'with Rumble (Link Wray & His Ray Men) jam', '2': 'with Nick Gerlach on saxophone', '3': 'with Kanika Moore on vocals'}",,,,,,,,,,,,,
0,2019-08-25,"Fraze Pavilion, Kettering, OH, USA",SunSquabi,None,{},,,,,,,,,,,,,
0,2019-08-29,"Hampton Beach Casino Ballroom, Hampton Beach, NH, USA",Big Something,['last Come As Your Kids 04.16.2016 (313 shows)'],{},,,,,,,,,,,,,
0,2019-08-30,"Stone Pony Outdoors, Asbury Park, NJ, USA",Big Something,['last Muff II: The Revenge 01.29.2017 (241 shows)'],{'1': 'with For Whom the Bell Tolls (Metallica) teases'},,,,,,,,,,,,,
0,2019-08-31,"The Paramount, Huntington, NY, USA",Big Something,None,"{'1': 'with Third Stone from the Sun (Jimi Hendrix) and Ring of Fire (Johnny Cash) teases', '2': 'with All Things Ninja jam', '3': 'with Alric Carter on keys and Casey Cranford on saxophone', '4': 'with Xxplosive (Dr. Dre) teases'}",,,,,,,,,,,,,
0,2019-09-01,"Saranac Brewery, Utica, NY, USA",Big Something,None,"{'1': ""with Can't You Hear Me Knocking (The Rolling Stones) teases"", '2': 'with Stranglehold (Ted Nugent) jam'}",,,,,,,,,,,,,
0,2019-09-19,"Piedmont Hall, Greensboro, NC, USA",Big Something,None,{'1': 'with Casey Crawford on saxophone'},,,,,,,,,,,,,
0,2019-09-20,"Sprint Pavilion, Charlottesville, VA, USA",Big Something,None,"{'1': ""with Can't You Hear Me Knocking (The Rolling Stones) jam"", '2': 'with Two Tickets to Paradise (Eddie Money) teases'}",,,,,,,,,,,,,
0,2019-09-21,"""Resonance Music and Arts Festival"" Cooper's Lake Campground, Slippery Rock, PA, USA",,"['Apex Stage', 'with YYZ (Rush) tease before Moving In Stereo']","{'1': 'debut, The Cars; with Jamie Shields on keyboards', '2': ""with Nick Gerlach on saxophone; with Can't You Hear Me Knocking (The Rolling Stones) teases""}",,,,,,,,,,,,,
0,2019-10-17,"Georgia Theatre, Athens, GA, USA",,None,"{'1': 'with So Fresh, So Clean (Outkast) teases'}",,,,,,,,,,,,,
0,2019-10-18,"Georgia Theatre, Athens, GA, USA",,None,{'1': 'unfinished'},,,,,,,,,,,,,
